year,Base case cost,Modeled residential energy efficiency
2017,108827.353732,109243.082046
2018,115182.882796,115132.59736
2019,124127.70148,123471.458323
2020,128600.110821,127586.972908
2021,131424.790405,130148.130324
2022,133778.690059,132266.974611
2023,135426.419816,133721.025556
2024,136603.369643,134732.646226
2025,138251.0994,136191.463884
2026,140134.219123,137875.002385
2027,141781.948881,139338.365934
2028,142958.898707,140359.080945
2029,153802.832573,151010.014882
2030,155056.377924,152111.559108
2031,157062.050486,153928.366206
2032,159067.723047,155747.168148
2033,161324.104679,157805.65823
2034,163580.486311,159866.050743
2035,165084.740733,161215.080944
2036,177129.168171,173067.191405
