year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,92525.36,1318.82,1700.24,21842.75
2018,92601.89,1319.35,1700.24,21842.75
2019,92601.89,1321.6,1700.24,22915.47
2020,92601.89,1324.06,1700.24,22915.47
2021,92601.89,1326.29,1700.24,22915.47
2022,92601.89,1329.23,1700.24,22915.47
2023,92678.42,1332.14,1700.24,22915.47
2024,92678.42,1335.88,1700.24,22915.47
2025,92678.42,1340.13,1700.24,22915.47
2026,92754.95,1345.09,1700.24,22915.47
2027,92754.95,1349.89,1700.24,22915.47
2028,92754.95,1355.0,1700.24,22915.47
2029,92831.48,1365.94,1700.24,23988.2
2030,92908.02,1376.18,1700.24,23988.2
2031,92984.55,1384.88,1700.24,23988.2
2032,92984.55,,,23988.2
2033,93061.08,,,23988.2
2034,93061.08,,,23988.2
2035,93061.08,,,23988.2
2036,93137.61,,,23988.2
