year,annotation,Average Load
2003,,489.0
2004,,480.0
2005,,412.0
2006,,408.0
2007,,610.0
2008,,599.0
2009,,434.0
2010,,591.0
2011,,525.0
2012,,636.0
2013,,614.0
2014,,638.0
2015,,650.0
2016,start of forecast,632.0
2017,,635.0
2018,,638.0
2019,,641.0
2020,,644.0
2021,,647.0
2022,,649.0
2023,,651.0
2024,,654.0
2025,,656.0
2026,,658.0
2027,,660.0
2028,,663.0
2029,,665.0
2030,,667.0
2031,,669.0
2032,,672.0
2033,,674.0
2034,,677.0
2035,,680.0
2036,,682.0
2037,,685.0
2038,,688.0
2039,,690.0
2040,,693.0
