year,Base case diesel consumed,Modeled non-residential ashp
2017,61299.9537674,42909.9676188
2018,61299.9537674,42909.9676188
2019,61299.9537674,42909.9676188
2020,61299.9537674,42909.9676188
2021,61299.9537674,42909.9676188
2022,61299.9537674,42909.9676188
2023,61299.9537674,42909.9676188
2024,61299.9537674,42909.9676188
2025,61299.9537674,42909.9676188
2026,61299.9537674,42909.9676188
2027,61299.9537674,42909.9676188
2028,61299.9537674,42909.9676188
2029,61299.9537674,42909.9676188
2030,61299.9537674,42909.9676188
2031,61299.9537674,42909.9676188
