year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,80685.0,59659.6784015
2018,80685.0,59659.6784015
2019,80685.0,59659.6784015
2020,80685.0,59659.6784015
2021,80685.0,59659.6784015
2022,80685.0,59659.6784015
2023,80685.0,59659.6784015
2024,80685.0,59659.6784015
2025,80685.0,59659.6784015
2026,80685.0,59659.6784015
2027,80685.0,59659.6784015
2028,80685.0,59659.6784015
2029,80685.0,59659.6784015
2030,80685.0,59659.6784015
2031,80685.0,59659.6784015
2032,,
2033,,
2034,,
2035,,
2036,,
