year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,48019.27,5717.86,44236.92,51463.09
2018,48019.27,5718.08,44236.92,51463.09
2019,48095.98,5718.91,44236.92,51463.09
2020,48095.98,5719.26,44236.92,51463.09
2021,48095.98,5719.02,44236.92,51463.09
2022,48019.27,5717.91,44236.92,51463.09
2023,48019.27,5717.41,44236.92,51463.09
2024,47942.56,5715.92,44236.92,51463.09
2025,47789.15,5714.25,44236.92,51463.09
2026,47789.15,5713.39,44236.92,51463.09
2027,47635.73,5710.85,44236.92,50339.17
2028,47559.02,5708.95,44236.92,50339.17
2029,47559.02,5709.1,44236.92,50339.17
2030,47482.32,5708.0,44236.92,50339.17
2031,47405.61,5707.0,44236.92,50339.17
2032,47252.19,,,49215.26
2033,47022.07,,,49215.26
2034,46791.94,,,48091.35
2035,46561.82,,,48091.35
2036,46331.69,,,46967.43
