year,Base case cost,Modeled transmission and interties
2021,193681.823635,870416.475437
2022,199520.844442,872700.469667
2023,204387.206501,872688.616381
2024,207774.636334,870402.154514
2025,211491.911009,868781.837851
2026,216945.857138,871326.397682
2027,220627.846086,871019.094904
2028,223970.018137,869435.132965
2029,229403.253079,871525.766119
2030,232126.390738,868313.302392
2031,237250.492024,871157.116796
2032,242051.652196,873556.328651
2033,246509.160066,875465.599373
2034,251521.267522,878429.468766
2035,254706.187962,876624.031421
2036,259633.149423,879745.557651
2037,262498.964154,878779.498154
2038,267699.773543,881766.222309
2039,271341.107196,883209.88836
2040,276696.866953,887577.460707
