year,Base case cost,Modeled residential energy efficiency
2017,150669.121887,149881.623737
2018,158287.402014,157006.316153
2019,168675.965824,166771.853353
2020,173293.105295,171044.903298
2021,176525.102924,174001.936069
2022,179064.529633,176302.337524
2023,180680.528448,177726.223654
2024,182065.67029,178932.983456
2025,170852.397251,167532.917724
2026,172567.244302,169052.499822
2027,174067.735471,170371.271837
2028,175353.870758,171489.175018
2029,190376.521337,186323.905838
2030,191530.806205,187325.72281
2031,193377.661993,188989.273197
2032,195455.374755,190874.867838
2033,183499.394247,178739.982523
2034,185428.597178,180481.364788
2035,186714.732466,181614.870219
2036,188643.935398,183360.350857
