year,Base case diesel consumed,Modeled transmission and interties
2021,18432.4755123,0.0
2022,18432.4755123,0.0
2023,18432.4755123,0.0
2024,18432.4755123,0.0
2025,18432.4755123,0.0
2026,18432.4755123,0.0
2027,18432.4755123,0.0
2028,18432.4755123,0.0
2029,18432.4755123,0.0
2030,18432.4755123,0.0
2031,18432.4755123,0.0
2032,18432.4755123,0.0
2033,18432.4755123,0.0
2034,18432.4755123,0.0
2035,18336.4730357,0.0
2036,18336.4730357,0.0
2037,18336.4730357,0.0
2038,18432.4755123,0.0
2039,18432.4755123,0.0
2040,18336.4730357,0.0
