year,Base case diesel consumed,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,7647.77860231,0.0,0.0
2022,7647.77860231,0.0,0.0
2023,7647.77860231,0.0,0.0
2024,7647.77860231,0.0,0.0
2025,7647.77860231,0.0,0.0
2026,7647.77860231,0.0,0.0
2027,7647.77860231,0.0,0.0
2028,7647.77860231,0.0,0.0
2029,7647.77860231,0.0,0.0
2030,7647.77860231,0.0,0.0
2031,7647.77860231,0.0,0.0
2032,7647.77860231,0.0,0.0
2033,7647.77860231,0.0,0.0
2034,7647.77860231,0.0,0.0
2035,7647.77860231,0.0,0.0
2036,7647.77860231,0.0,0.0
2037,7647.77860231,0.0,0.0
2038,7647.77860231,0.0,0.0
2039,7647.77860231,0.0,0.0
2040,7647.77860231,0.0,0.0
2041,7647.77860231,0.0,0.0
2042,7647.77860231,0.0,0.0
2043,7647.77860231,0.0,0.0
2044,7647.77860231,0.0,0.0
2045,7647.77860231,0.0,0.0
2046,7647.77860231,0.0,0.0
2047,7647.77860231,0.0,0.0
2048,7647.77860231,0.0,0.0
2049,7647.77860231,0.0,0.0
2050,7647.77860231,0.0,0.0
2051,7647.77860231,0.0,0.0
2052,7647.77860231,0.0,0.0
2053,7647.77860231,0.0,0.0
2054,7647.77860231,0.0,0.0
2055,7647.77860231,0.0,0.0
2056,7647.77860231,0.0,0.0
2057,7647.77860231,0.0,0.0
2058,7647.77860231,0.0,0.0
2059,7647.77860231,0.0,0.0
2060,7647.77860231,0.0,0.0
2061,7647.77860231,0.0,0.0
2062,7647.77860231,0.0,0.0
2063,7647.77860231,0.0,0.0
2064,7647.77860231,0.0,0.0
2065,7647.77860231,0.0,0.0
2066,7647.77860231,0.0,0.0
2067,7647.77860231,0.0,0.0
2068,7647.77860231,0.0,0.0
2069,7647.77860231,0.0,0.0
2070,7647.77860231,0.0,0.0
