year,Base case cost,Modeled biomass for heat (cordwood)
2017,472017.691057,552274.715874
2018,503612.221057,574169.219172
2019,545738.261057,603885.249784
2020,565843.871057,617352.64144
2021,579247.611057,625897.365082
2022,589779.121057,632350.341686
2023,597438.401057,636710.820788
2024,603182.861057,639685.991874
2025,609884.731057,643398.906335
2026,618501.421057,648556.787604
2027,626160.701057,653035.186045
2028,631905.161057,656125.512736
2029,640521.851057,661366.728569
2030,645308.901057,663802.741323
2031,653925.591057,669096.309138
2032,,
2033,,
2034,,
2035,,
2036,,
