year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,13971.16,472018.93,658814.96,67102.64,528209.5,460368.81
2018,15034.36,503613.55,720408.38,70530.73,552620.99,495024.03
2019,16433.12,545739.7,797233.96,75037.11,585169.64,538347.34
2020,17186.91,565845.36,850466.35,77395.65,600704.23,567182.05
2021,17747.99,579249.13,896852.41,79107.91,611060.61,591754.36
2022,18230.16,589780.67,940589.01,80550.96,619197.78,614625.29
2023,18631.88,597439.97,988964.93,81722.47,625115.71,639417.2
2024,18980.72,603184.45,1027709.61,82714.83,629554.17,659198.78
2025,19364.67,609886.34,1068337.23,83814.26,634732.36,679987.77
2026,19815.31,618503.05,1120283.88,85120.6,641390.04,706530.3
2027,20243.63,626162.35,1163689.17,86346.01,647307.97,728720.68
2028,20614.2,631906.82,1212711.83,87381.71,651746.43,753440.95
2029,21087.45,640523.54,1258996.46,88733.92,658404.11,777077.5
2030,21441.41,645310.6,1307701.95,89701.19,662102.82,801479.88
2031,21929.37,653927.31,1363634.18,91083.05,668760.49,829777.52
2032,,,1412135.29,,,854390.13
2033,,,1469806.14,,,883453.39
2034,,,1530213.98,,,913900.14
2035,,,1584147.47,,,940782.95
2036,,,1646385.43,,,972035.61
