year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2010,,2.71,5.84
2011,,2.57,6.04
2012,,3.87,6.4
2013,,3.78,6.76
2014,,2.54,6.96
2016,start of forecast,2.34,4.54
2017,,2.79,4.99
2018,,3.12,5.32
2019,,3.58,5.78
2020,,3.79,5.99
2021,,3.94,6.14
2022,,4.05,6.25
2023,,4.12,6.32
2024,,4.19,6.39
2025,,4.26,6.46
2026,,4.35,6.55
2027,,4.43,6.63
2028,,4.5,6.7
2029,,4.58,6.78
2030,,4.63,6.83
2031,,4.73,6.93
2032,,4.82,7.02
2033,,4.92,7.12
2034,,5.02,7.22
2035,,5.08,7.28
2036,,5.18,7.38
2037,,5.24,7.44
2038,,5.34,7.54
2039,,5.42,7.62
2040,,5.53,7.73
