year,Base case cost,Modeled residential energy efficiency
2017,478334.685885,643710.173626
2018,589986.14652,738588.605969
2019,746716.854887,874391.456044
2020,824131.7454,939250.97574
2021,884897.49047,989386.276777
2022,932086.243782,1027508.33454
2023,968931.206146,1056489.24567
2024,1002583.22948,1082760.81218
2025,1040515.25996,1113077.00096
2026,1082848.08293,1147555.72313
2027,1121947.70508,1179276.21466
2028,1157693.34108,1208114.94911
2029,1201837.94424,1244748.14884
2030,1234632.2119,1271213.98734
2031,1279944.40674,1309230.06621
2032,1329979.48832,1351714.88815
2033,1380739.28197,1395025.86193
2034,1439430.7205,1446367.54286
2035,1479162.27292,1479920.13232
2036,1532156.59547,1525755.91097
