year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,14757.8738171,9592.61798115
2018,14769.9027443,9600.43678381
2019,14785.5813704,9610.62789076
2020,14807.1408824,9624.64157357
2021,14820.0909749,9633.05913369
2022,14831.6599199,9640.57894795
2023,14842.719375,9647.76759373
2024,14853.9393634,9655.06058621
2025,14865.8365811,9662.79377774
2026,14878.6341469,9671.1121955
2027,14901.0308879,9685.6700771
2028,14914.4967422,9694.42288242
2029,14928.0119709,9703.20778106
2030,14940.0467696,9711.03040023
2031,14953.6627486,9719.88078662
