year,Base case cost,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,149571.532454,85755624.9707,1022291.61361
2022,153560.106653,84051878.7971,1004881.99814
2023,156551.537302,82388476.7324,987501.374147
2024,159044.396176,80764256.2631,970348.388252
2025,161537.25505,79178076.7907,953621.932816
2026,165027.257474,77628591.4838,937730.269016
2027,168018.688123,76115612.5163,922036.247309
2028,170511.546998,74638289.6046,906530.333984
2029,173502.977647,73195337.1538,891621.476828
2030,175497.264746,71786627.1223,876673.196622
2031,179485.838945,70410001.9276,862931.388843
2032,182975.841369,69065826.3288,849341.737371
2033,186465.843793,67753117.4921,836104.903478
2034,190454.417992,66470910.3162,823421.747262
2035,192448.705091,65219622.657,810238.547942
2036,196437.27929,63996730.2493,798220.451984
2037,198930.138164,62803139.5527,785895.854646
2038,202420.140588,61637041.7257,774302.880436
2039,205411.571237,60498464.5959,762806.797801
2040,209898.717211,59385858.005,752236.950519
2041,209898.717211,58301328.6784,740076.785751
2042,209898.717211,57242218.0071,728201.624837
2043,209898.717211,56207930.2465,716604.788056
2044,209898.717211,55197883.6015,705279.752094
2045,209898.717211,54211509.9285,694220.146705
2046,209898.717211,53248254.3872,683419.750803
2047,209898.717211,52307575.1501,672872.489206
2048,209898.717211,51388943.0825,662572.429052
2049,209898.717211,50491841.4455,652513.776464
2050,209898.717211,49615765.6343,642690.873614
2051,209898.717211,48760222.851,633098.195063
2052,209898.717211,47924731.8513,623730.344909
2053,209898.717211,47108822.6749,614582.053778
2054,209898.717211,46312036.363,605648.175644
2055,209898.717211,45533924.7329,596923.685308
2056,209898.717211,44774050.0948,588403.675222
2057,209898.717211,44031985.0195,580083.352883
2058,209898.717211,43307312.0915,571958.038066
2059,209898.717211,42599623.691,564023.16038
2060,209898.717211,41908521.7327,556274.256337
2061,209898.717211,41233617.477,548706.967238
2062,209898.717211,40574531.2901,541317.03648
2063,209898.717211,39930892.4338,534100.307202
2064,209898.717211,39302338.8689,527052.720082
2065,209898.717211,38688517.0236,520170.310734
2066,209898.717211,38089081.6258,513449.207831
2067,209898.717211,37503695.5,506885.630832
2068,209898.717211,36932029.3567,500475.887617
2069,209898.717211,36373761.6403,494216.372775
2070,209898.717211,35828578.325,488103.56533
