year,Base case cost,Modeled diesel efficiency
2019,823483.065732,1051783.78377
2020,869775.89888,1086762.79907
2021,901809.265304,1108945.19511
2022,924529.460184,1122823.70076
2023,938009.290073,1128460.69221
2024,951404.178983,1134175.55986
2025,964714.126914,1139964.6687
2026,982126.269055,1149630.95542
2027,997500.586119,1157589.11762
2028,1010190.91995,1163248.35339
2029,1025023.73828,1170993.05468
2030,1033053.69433,1172687.85945
2031,1052137.35358,1184562.85609
2032,1068866.93429,1194426.0732
2033,1087684.39458,1206312.6476
2034,1105984.62498,1217851.36167
2035,1115736.15264,1221738.00884
2036,1133770.94249,1233271.57509
2037,1142531.99768,1236488.41951
2038,1160286.17893,1247992.10851
