year,Base case cost,Modeled residential ashp
2017,662975.325841,877315.413261
2018,712872.353524,898003.099238
2019,774719.834941,922389.516174
2020,810217.150239,936596.838784
2021,829262.887196,939569.784569
2022,851406.223824,947484.487172
2023,863620.353514,947310.400575
2024,872344.731864,945483.328569
2025,889616.457497,951509.892193
2026,903683.023158,952791.797761
2027,914232.947404,952383.378031
2028,923024.550942,951197.328609
2029,935332.795895,951978.456756
2030,944124.399433,951059.527435
2031,956432.644387,952101.515057
