year,Base case diesel consumed,Modeled diesel efficiency
2019,142326.689568,129387.899608
2020,143712.377405,130647.615823
2021,144649.113541,131499.194128
2022,145529.338493,132299.39863
2023,146524.938928,133204.489934
2024,147438.476366,134034.978515
2025,148368.263975,134880.239977
2026,149314.572469,135740.520426
2027,150172.501109,136520.455554
2028,151035.876552,137305.34232
2029,152044.996089,138222.723717
2030,153051.069571,139137.335974
2031,153986.609323,139987.826658
2032,154778.322362,140707.565784
2033,155569.515775,141426.832523
2034,156361.031705,142146.392459
2035,157224.455039,142931.322763
2036,158087.798736,143716.180669
2037,158951.209459,144501.099508
2038,159886.55125,145351.410228
