year,Base case diesel consumed,Modeled wind power
2019,142326.689568,117750.651774
2020,143712.377405,119136.339611
2021,144649.113541,120073.075746
2022,145529.338493,120953.300699
2023,146524.938928,121948.901133
2024,147438.476366,122862.438572
2025,148368.263975,123792.22618
2026,149314.572469,124738.534674
2027,150172.501109,125596.463314
2028,151035.876552,126459.838757
2029,152044.996089,127468.958294
2030,153051.069571,128475.031777
2031,153986.609323,129410.571529
2032,154778.322362,130202.284568
2033,155569.515775,130993.47798
2034,156361.031705,131784.99391
2035,157224.455039,132648.417245
2036,158087.798736,133511.760941
2037,158951.209459,134375.171664
2038,159886.55125,135310.513456
