year,Base case cost,Modeled non-residential ashp
2017,928325.44432,1181773.78751
2018,980530.356501,1228202.7444
2019,1055357.39729,1296677.04663
2020,1088420.50834,1324731.22517
2021,1112782.80069,1344438.69093
2022,1130184.43809,1357485.42812
2023,1144105.748,1367245.66609
2024,1152806.5667,1372029.1048
2025,1164987.71287,1380274.65343
2026,1180649.18653,1391980.30285
2027,1192830.3327,1400391.31778
2028,1203271.31514,1407193.97545
2029,1217192.62505,1417450.98463
2030,1225893.44375,1422719.55147
2031,1241554.91741,1434815.24468
