year,Base case cost,Modeled residential energy efficiency
2017,1355339.46203,1328492.90804
2018,1450515.98196,1402654.19614
2019,1561030.62163,1487221.03053
2020,1635864.5303,1546940.73096
2021,1688452.96024,1587360.75272
2022,1744866.70593,1633422.46414
2023,1782982.01925,1662999.14525
2024,1829915.73705,1702078.3477
2025,1880155.83844,1744018.83346
2026,1925322.58186,1779874.9017
2027,1976777.4421,1823258.09031
2028,2025904.47449,1864986.62355
2029,2081509.30086,1912173.9711
2030,2116959.81327,1941001.46523
2031,2173711.91189,1989543.39887
2032,2234293.41527,2041451.57297
2033,2283543.09816,2082125.60931
2034,2333332.67388,2123434.93178
2035,2386357.05759,2169761.79424
2036,2437260.16226,2212368.77737
