year,Base case cost,Modeled solar power (pv)
2016,232509.895105,249541.867574
2017,277033.066508,293079.66382
2018,310425.44506,325650.742068
2019,354735.945033,369012.750127
2020,375748.178711,389395.99381
2021,390580.34366,403691.10988
2022,401463.637355,414095.963303
2023,408875.273737,421086.397322
2024,414802.656203,426617.78715
2025,422209.846492,433623.171126
2026,432086.100211,443076.862212
2027,439229.489006,449837.347398
2028,445398.442503,455647.271041
2029,453762.283719,463631.189374
2030,458694.482455,468236.179567
2031,467044.985393,476223.931032
2032,476903.454742,485713.73974
2033,486761.924091,495212.069212
2034,496321.764219,504420.105696
2035,502479.602485,510276.425667
