year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12153.6334557,7899.86174617
2018,12178.9329672,7916.30642867
2019,12195.3386464,7926.97012015
2020,12185.1869913,7920.37154436
2021,12177.8128032,7915.57832207
2022,12144.5911678,7893.9842591
2023,12099.5092899,7864.68103845
2024,12053.0481257,7834.48128172
2025,11993.1368958,7795.53898226
2026,11922.2912456,7749.48930963
2027,11839.2533524,7695.51467905
2028,11757.7998839,7642.56992456
2029,11676.5758467,7589.77430035
2030,11579.3780007,7526.59570045
2031,11468.2496331,7454.36226151
