year,Base case cost,Modeled non-residential energy efficiency
2017,203335.157235,204812.302176
2018,217153.349727,216792.646268
2019,236400.117839,233760.618042
2020,245283.241584,241252.417657
2021,251698.830955,246499.397416
2022,256633.899701,250405.167932
2023,260088.447824,252969.383805
2024,263049.489072,255095.672036
2025,266504.037195,257687.667532
2026,270452.092193,260745.048608
2027,273906.640316,263363.536818
2028,276867.681564,265542.825378
2029,280322.229686,268186.579005
2030,282789.76406,269938.558671
2031,287231.325932,273510.37159
