year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,109523.363417,81047.2889289
2018,109523.363417,81047.2889289
2019,109523.363417,81047.2889289
2020,109523.363417,81047.2889289
2021,109523.363417,81047.2889289
2022,109523.363417,81047.2889289
2023,109523.363417,81047.2889289
2024,109523.363417,81047.2889289
2025,109523.363417,81047.2889289
2026,109523.363417,81047.2889289
2027,109523.363417,81047.2889289
2028,109523.363417,81047.2889289
2029,109523.363417,81047.2889289
2030,109523.363417,81047.2889289
2031,109523.363417,81047.2889289
