year,Base case cost,Modeled biomass for heat (cordwood)
2017,305994.098657,364655.094411
2018,325895.538657,378270.3296
2019,353260.018657,397429.63936
2020,366320.338657,406037.410893
2021,375027.218657,411450.772151
2022,381868.338657,415508.576304
2023,386221.778657,417750.40312
2024,389953.298657,419555.275089
2025,394928.658657,422302.227583
2026,400525.938657,425530.879016
2027,404879.378657,427861.145336
2028,408610.898657,429752.384009
2029,414208.178657,433043.536366
2030,417317.778657,434515.123976
2031,422915.058657,437845.540319
2032,,
2033,,
2034,,
2035,,
2036,,
