year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.71,2.2
2005,,2.27,3.55
2006,,2.84,4.58
2008,,3.31,4.71
2009,,3.36,5.0
2010,,2.72,5.49
2011,,3.24,4.3
2012,,3.7,5.61
2013,,3.83,5.61
2014,,3.86,5.81
2016,start of forecast,2.4,3.95
2017,,2.79,4.34
2018,,3.07,4.62
2019,,3.45,5.0
2020,,3.63,5.18
2021,,3.76,5.31
2022,,3.85,5.4
2023,,3.91,5.46
2024,,3.96,5.51
2025,,4.02,5.57
2026,,4.1,5.65
2027,,4.16,5.71
2028,,4.21,5.76
2029,,4.28,5.83
2030,,4.33,5.88
2031,,4.4,5.95
2032,,4.48,6.03
2033,,4.56,6.11
2034,,4.64,6.19
2035,,4.69,6.24
2036,,4.77,6.32
2037,,4.82,6.37
2038,,4.9,6.45
2039,,4.96,6.51
2040,,5.05,6.6
