year,Base case cost,Modeled diesel efficiency
2019,108101.113116,272224.128828
2020,116003.241268,275330.919437
2021,121060.603285,275947.112815
2022,125169.709924,275794.57011
2023,128014.476058,274583.754163
2024,130227.071941,272887.229388
2025,133071.838075,271852.310527
2026,136232.689336,271189.61061
2027,139077.455471,270322.440286
2028,141606.136479,269248.857049
2029,144766.98774,268829.014316
2030,146316.776278,267021.756861
2031,149785.492957,267034.358171
2032,153254.209636,267120.571476
2033,157038.264195,267565.342249
2034,160506.980874,267793.644094
2035,163029.683913,267230.490015
2036,166813.738472,267880.968831
2037,169021.103631,267163.474223
2038,173120.49607,268229.852627
