year,Base case diesel consumed,Modeled diesel efficiency
2019,228383.245157,207621.131961
2020,228753.276338,207957.523944
2021,229049.301283,208226.63753
2022,229345.326229,208495.751117
2023,229715.35741,208832.1431
2024,230011.382355,209101.256686
2025,230307.4073,209370.370273
2026,229937.376119,209033.97829
2027,230085.388591,209168.535083
2028,230159.394828,209235.81348
2029,230381.413536,209437.648669
2030,230603.432245,209639.483859
2031,230233.401064,209303.091876
2032,230307.4073,209370.370273
2033,230233.401064,209303.091876
2034,230307.4073,209370.370273
2035,230603.432245,209639.483859
2036,231565.513317,210514.103015
2037,231713.525789,210648.659809
2038,232157.563207,211052.330188
