year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,146921.963712,108722.253147
2018,146921.963712,108722.253147
2019,146921.963712,108722.253147
2020,146921.963712,108722.253147
2021,146921.963712,108722.253147
2022,146921.963712,108722.253147
2023,146921.963712,108722.253147
2024,146921.963712,108722.253147
2025,146921.963712,108722.253147
2026,146921.963712,108722.253147
2027,146921.963712,108722.253147
2028,146921.963712,108722.253147
2029,146921.963712,108722.253147
2030,146921.963712,108722.253147
2031,146921.963712,108722.253147
