year,Base case cost,Tuntutuliak heat recovery
2019,202256.332054,205493.72631
2020,209217.861823,210405.079622
2021,214347.410074,213812.387973
2022,218011.37311,216020.112826
2023,220576.147235,217332.727008
2024,222774.525057,218359.660743
2025,225339.299183,219710.355097
2026,228636.865915,221689.315413
2027,231201.640041,223076.325849
2028,233400.017863,224175.912174
2029,236331.188292,225902.50263
2030,237796.773506,226426.018341
2031,241094.340239,228490.584382
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
