year,Base case cost,Modeled residential energy efficiency
2017,1201940.53736,1242746.4317
2018,1270101.30858,1290502.12046
2019,1368066.74105,1362353.24748
2020,1394616.57591,1373995.52594
2021,1384760.28642,1352505.45956
2022,1401851.96473,1359648.6536
2023,1390909.31973,1340969.19444
2024,1400125.8474,1343072.20147
2025,1379667.96683,1315064.47253
2026,1346963.77515,1273843.23758
2027,1309643.69684,1228622.91325
2028,1274095.49428,1186317.89931
2029,1242023.86631,1146516.0697
2030,1210333.12328,1108763.27639
2031,1170982.48979,1060787.20398
2032,1118311.09253,1000097.31411
2033,1035853.64401,909697.783286
2034,970361.230667,835809.204955
2035,905198.283538,764437.771917
2036,853642.659755,704630.016368
