year,Base case cost,Modeled diesel efficiency
2019,27690.0,165624.650061
2020,29640.0,164105.53539
2021,31005.0,162131.755088
2022,32253.3333333,160127.258466
2023,33040.0,157776.64327
2024,33630.0,155319.094088
2025,34318.3333333,153021.108695
2026,35203.3333333,150970.436414
2027,35891.6666667,148807.895398
2028,36481.6666667,146621.311211
2029,37366.6666667,144766.727912
2030,38179.1666667,142908.558874
2031,39071.6666667,141183.979721
2032,39964.1666667,139518.836724
2033,40856.6666667,137911.736862
2034,41848.3333333,136451.471256
2035,42542.5,134776.105329
2036,43534.1666667,133425.250818
2037,44129.1666667,131766.580169
2038,45120.8333333,130520.068223
