year,Base case cost,Modeled solar power
2020,939638.962247,970518.719175
2021,967439.765277,997077.621471
2022,988299.580291,1016814.39429
2023,1002402.66212,1029910.51572
2024,1009976.61969,1036590.86587
2025,1023281.26391,1048935.09969
2026,1036285.31984,1061001.59382
2027,1049231.57034,1073032.62025
2028,1058880.02057,1081830.99715
2029,1069371.70764,1091450.30263
2030,1074086.46371,1095398.79748
2031,1087573.91763,1108012.19324
2032,1098797.56606,1118424.36272
2033,1112855.84868,1131649.07092
2034,1123604.04738,1141624.71175
2035,1130499.51361,1147807.21255
2036,1142799.06577,1159330.14319
2037,1145439.32917,1161333.1385
2038,1156576.99201,1171729.76418
2039,1164980.45762,1179449.52691
