year,Base case diesel consumed,Chikuminuk lake
2021,3181166.75442,0.0
2022,3183633.22504,2466.4706205
2023,3185954.60915,4787.85473392
2024,3188203.45001,7036.69559379
2025,3190597.37738,9430.62296075
2026,3193136.39126,11969.6368348
2027,3196908.64044,15741.8860191
2028,3199084.93805,17918.1836254
2029,3201769.03843,20602.2840066
2030,3204525.68206,23358.9276412
2031,3207137.23919,25970.4847688
2032,3209676.25306,28509.4986429
2033,3211707.46416,30540.7097421
2034,3213811.21852,32644.4640949
2035,3216567.86215,35401.1077296
2036,3219397.04904,38230.2946178
2037,3222588.95219,41422.1977737
2038,3226143.57162,44976.8171974
2039,3229117.84501,47951.0905927
2040,3232019.57515,50852.8207345
2041,3236444.71362,55277.9592007
2042,3242538.34692,61371.5924984
2043,3246238.05285,65071.2984291
2044,3249575.04251,68408.2880922
2045,3252912.03218,71745.2777552
2046,3256611.73811,75444.983686
2047,3260238.90078,79072.1463632
2048,3263720.97695,82554.2225333
2049,3270902.75905,89736.0046342
2050,3274602.46499,93435.7105649
2051,3274602.46499,93435.7105649
2052,3274602.46499,93435.7105649
2053,3274602.46499,93435.7105649
2054,3274602.46499,93435.7105649
2055,3274602.46499,93435.7105649
2056,3274602.46499,93435.7105649
2057,3274602.46499,93435.7105649
2058,3274602.46499,93435.7105649
2059,3274602.46499,93435.7105649
2060,3274602.46499,93435.7105649
2061,3274602.46499,93435.7105649
2062,3274602.46499,93435.7105649
2063,3274602.46499,93435.7105649
2064,3274602.46499,93435.7105649
2065,3274602.46499,93435.7105649
2066,3274602.46499,93435.7105649
2067,3274602.46499,93435.7105649
2068,3274602.46499,93435.7105649
2069,3274602.46499,93435.7105649
2070,3274602.46499,93435.7105649
