year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,215896.0,189305.192462
2018,215898.0,189307.192462
2019,217212.0,190621.192462
2020,217212.0,190621.192462
2021,218528.0,191937.192462
2022,218531.0,191940.192462
2023,219847.0,193256.192462
2024,221163.0,194572.192462
2025,221167.0,194576.192462
2026,222480.0,195889.192462
2027,222481.0,195890.192462
2028,222480.0,195889.192462
2029,222481.0,195890.192462
2030,221166.0,194575.192462
2031,221166.0,194575.192462
2032,222479.0,195888.192462
2033,222480.0,195889.192462
2034,222479.0,195888.192462
2035,221166.0,194575.192462
2036,221164.0,194573.192462
