year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.22
2001,,,2.22
2004,,,2.22
2005,,1.54,2.89
2008,,2.84,4.2
2009,,,4.05
2010,,,4.34
2011,,,5.2
2012,,4.96,5.32
2013,,5.09,5.32
2014,,,5.68
2016,,1.85,3.13
2017,,2.27,3.55
2018,,2.59,3.87
2019,,3.03,4.31
2020,,3.25,4.53
2021,,3.4,4.68
2022,,3.51,4.79
2023,,3.59,4.87
2024,,3.65,4.93
2025,,3.73,5.01
2026,,3.82,5.1
2027,,3.9,5.18
2028,,3.97,5.25
2029,,4.06,5.34
2030,,4.11,5.39
2031,,4.21,5.49
2032,,4.31,5.59
2033,,4.41,5.69
2034,,4.51,5.79
2035,,4.58,5.86
2036,,4.69,5.97
2037,,4.75,6.03
2038,,4.86,6.14
2039,,4.94,6.22
2040,,5.06,6.34
