year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,3000.0,20090.08
2018,,0.0,3000.0,20090.08
2019,,0.0,3000.0,20090.08
2020,,0.0,3000.0,20090.08
2021,,0.0,3000.0,20090.08
2022,,0.0,3000.0,20090.08
2023,,0.0,3000.0,18966.17
2024,,0.0,3000.0,18966.17
2025,,0.0,3000.0,18966.17
2026,,0.0,3000.0,18966.17
2027,,0.0,3000.0,18966.17
2028,,0.0,3000.0,17842.25
2029,,0.0,3000.0,17842.25
2030,,0.0,3000.0,17842.25
2031,,0.0,3000.0,17842.25
2032,,0.0,3000.0,17842.25
2033,,0.0,3000.0,16718.34
2034,,0.0,3000.0,16718.34
2035,,0.0,3000.0,16718.34
2036,,0.0,3000.0,16718.34
2037,,0.0,3000.0,15594.43
2038,,0.0,3000.0,15594.43
2039,,0.0,3000.0,15594.43
2040,,0.0,3000.0,15594.43
