year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,82633.0,72602.3640452
2018,82636.0,72605.3640452
2019,82636.0,72605.3640452
2020,82634.0,72603.3640452
2021,82631.0,72600.3640452
2022,82628.0,72597.3640452
2023,82625.0,72594.3640452
2024,82620.0,72589.3640452
2025,82617.0,72586.3640452
2026,82610.0,72579.3640452
2027,82608.0,72577.3640452
2028,81203.0,71172.3640452
2029,81193.0,71162.3640452
2030,81184.0,71153.3640452
2031,81177.0,71146.3640452
2032,81174.0,71143.3640452
2033,81174.0,71143.3640452
2034,81172.0,71141.3640452
2035,79768.0,69737.3640452
2036,79763.0,69732.3640452
