year,Base case cost,Modeled residential energy efficiency
2017,325392.35017,303034.194849
2018,347042.260054,320264.97928
2019,377771.164406,345019.471706
2020,391738.848203,355928.550072
2021,402214.61105,363964.996651
2022,409896.837138,369705.992855
2023,414785.526467,373151.1945
2024,419674.215795,376610.400877
2025,424562.905124,380083.283755
2026,430848.362833,384724.590292
2027,436435.436351,388801.405898
2028,429663.372855,380652.672064
2029,435100.178075,384604.395305
2030,439177.781989,387450.765093
2031,445294.187861,391985.24829
2032,452090.194386,397090.066245
2033,458206.600258,401647.446822
2034,465682.207435,407333.375815
2035,456990.829819,397467.36056
2036,464259.818085,402967.995484
