year,Base case cost,Modeled residential ashp
2017,278304.396322,483809.197464
2018,300180.954738,503402.758568
2019,330653.333153,531951.607069
2020,345493.751569,544412.600141
2021,355644.409985,552093.798515
2022,363454.759192,557421.817615
2023,368920.4684,560390.78268
2024,373599.786816,562609.932235
2025,378283.706024,564895.034008
2026,385306.894439,569658.064125
2027,395877.712477,577974.736013
2028,400617.370893,580491.137701
2029,406148.379309,583880.936701
2030,410090.786932,585684.12883
2031,417204.285348,590816.619796
