year,Base case cost,Modeled non-residential ashp
2017,6054652.17911,6578302.27054
2018,6448090.07922,6935224.25502
2019,7045643.02651,7486048.49323
2020,7298963.56111,7711892.68972
2021,7495298.24751,7884207.40197
2022,7616118.23756,7985509.37287
2023,7717877.06851,8069087.53716
2024,7781937.00674,8117350.07644
2025,7859029.43772,8177864.09043
2026,7954335.16324,8255804.01594
2027,8043583.51424,8327945.55739
2028,8095205.20978,8364818.54271
2029,8189052.90166,8442059.33816
2030,8245556.92537,8484302.84804
2031,8367824.83168,8590440.61224
