year,Base case cost,Modeled residential energy efficiency
2017,326108.432929,305761.950401
2018,347068.316033,320268.121901
2019,386107.842444,351056.025056
2020,399873.418873,360262.422726
2021,409449.47204,366295.839133
2022,427972.810289,381869.963452
2023,432891.111656,384431.765171
2024,437194.625352,386548.407943
2025,442112.926719,389167.195659
2026,460139.485281,404640.140081
2027,465819.13345,407933.822804
2028,470236.637581,410273.178752
2029,475916.28575,413618.689936
2030,479071.645844,415028.111321
2031,486013.43805,419403.598277
2032,505033.341833,436021.843008
2033,511506.905499,440117.037009
2034,505576.670632,431690.378144
2035,509994.174763,434196.860243
2036,516935.966969,438686.128862
