year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9307.0885766,6049.60757479
2018,9306.99564606,6049.54716994
2019,9306.90376973,6049.48745033
2020,9306.79641387,6049.41766902
2021,9306.66635915,6049.33313345
2022,9306.52638953,6049.24215319
2023,9306.3647886,6049.13711259
2024,9306.19503423,6049.02677225
2025,9306.01026739,6048.90667381
2026,9305.81609274,6048.78046028
2027,9305.60163456,6048.64106246
2028,9305.38350667,6048.49927934
2029,9305.20778735,6048.38506177
2030,9305.00919569,6048.2559772
2031,9304.78547648,6048.11055971
