year,annotation,Average Load
2003,,1321.0
2004,,1322.0
2005,,1297.0
2006,,1259.0
2007,,1241.0
2008,,1227.0
2009,,1245.0
2010,,1108.0
2011,,1050.0
2012,,1035.0
2013,,1010.0
2014,start of forecast,1028.0
2015,,1028.0
2016,,1028.0
2017,,1028.0
2018,,1028.0
2019,,1028.0
2020,,1028.0
2021,,1028.0
2022,,1028.0
2023,,1027.0
2024,,1027.0
2025,,1027.0
2026,,1027.0
2027,,1027.0
2028,,1027.0
2029,,1027.0
2030,,1027.0
2031,,1027.0
2032,,1027.0
2033,,1027.0
2034,,1027.0
2035,,1027.0
2036,,1027.0
2037,,1027.0
2038,,1027.0
2039,,1027.0
2040,,1027.0
