year,Base case cost,Modeled diesel efficiency
2019,201013.924506,343420.74666
2020,210710.032854,348469.433999
2021,217720.717866,351165.092012
2022,222783.990374,352176.570932
2023,226678.815381,352210.000534
2024,228912.907064,350815.875374
2025,232910.535391,351105.24156
2026,237194.842898,351733.619909
2027,240700.185404,351730.405577
2028,244339.255807,351923.525115
2029,248242.438807,352429.757763
2030,250584.348608,351587.950745
2031,254877.849908,352589.946301
2032,259726.321981,354164.45732
2033,264029.017074,355309.210368
2034,268722.866267,356874.40465
2035,272040.989717,357252.265901
2036,276744.868501,358951.747258
2037,279488.797792,358929.849455
2038,284192.676577,360748.701541
