year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,21427.2365286,14005.9264837
2018,21826.0749317,14266.627454
2019,22231.3252143,14531.5195533
2020,22641.8306388,14799.8466793
2021,23058.8172604,15072.4102439
2022,23485.0751132,15351.0339545
2023,23922.5949126,15637.0190435
2024,24370.4517016,15929.7609121
2025,24825.5001933,16227.2036418
2026,25286.830594,16528.7525451
2027,25753.6414188,16833.8837311
2028,26228.2288137,17144.0980769
2029,26717.6978344,17464.0398067
2030,27215.5066309,17789.4328362
2031,27721.4385855,18120.135573
