year,Base case cost,Modeled residential ashp
2017,153396.42216,165206.116559
2018,169075.02216,178997.573364
2019,191473.02216,198946.802377
2020,202112.07216,208154.871128
2021,209391.42216,214302.682722
2022,214990.92216,218926.190001
2023,218910.57216,222025.113239
2024,222270.27216,224623.338786
2025,225629.97216,227232.679641
2026,230669.52216,231389.11457
2027,234589.17216,234531.990354
2028,237948.87216,237173.138316
2029,242428.47216,240848.555107
2030,244668.27216,242485.525232
2031,249707.82216,246692.535149
