year,annotation,Average Load
2003,,8639.0
2004,,8787.0
2005,,8831.0
2006,,8653.0
2007,,8580.0
2008,,8294.0
2009,,7412.0
2010,,8704.0
2011,,9180.0
2012,,9506.0
2013,,9514.0
2014,,9256.0
2015,start of forecast,9451.0
2016,,9442.0
2017,,9435.0
2018,,9428.0
2019,,9419.0
2020,,9410.0
2021,,9401.0
2022,,9392.0
2023,,9382.0
2024,,9374.0
2025,,9366.0
2026,,9357.0
2027,,9349.0
2028,,9340.0
2029,,9328.0
2030,,9317.0
2031,,9308.0
2032,,9302.0
2033,,9296.0
2034,,9290.0
2035,,9284.0
2036,,9277.0
2037,,9269.0
2038,,9262.0
2039,,9256.0
2040,,9251.0
