year,Base case cost,Modeled non-residential energy efficiency
2017,991311.124263,871504.5868
2018,1022744.56976,899431.157607
2019,1065820.03212,938351.466138
2020,1087939.86414,957590.550597
2021,1101910.28436,969198.046144
2022,1113552.30121,978650.597055
2023,1120537.51132,983756.354308
2024,1127522.72143,988896.500329
2025,1134507.93154,994070.229147
2026,1143821.54503,1001467.75754
2027,1151970.95682,1007801.81102
2028,1158956.16693,1013071.63899
2029,1167105.57873,1019467.51225
2030,1172926.58716,1023702.20914
2031,1182240.20064,1031252.54028
