year,Base case cost,Modeled residential ashp
2017,3208622.62326,4430926.14893
2018,3459209.08356,4645978.39356
2019,3807228.23307,4953993.64504
2020,3974763.34163,5091688.82401
2021,4093368.76193,5183104.45569
2022,4177073.86668,5241900.81235
2023,4232829.50351,5274659.91953
2024,4281630.51272,5301293.62312
2025,4337403.81193,5335003.3342
2026,4407203.96144,5382475.58762
2027,4478322.99525,5432063.53344
2028,4527319.40713,5460672.585
2029,4590237.15268,5502907.7479
2030,4632178.59585,5525647.67137
2031,4710814.14887,5584052.61744
