year,Base case cost,Modeled diesel efficiency
2019,367366.026252,571476.731086
2020,394894.14678,590935.710438
2021,415753.632252,604462.761125
2022,433287.573813,615093.999095
2023,447070.066632,622439.251973
2024,459610.5373,628776.900486
2025,473770.087901,636705.098768
2026,489528.117096,646202.337241
2027,505516.747507,656022.375086
2028,518613.949007,663324.35093
2029,535612.267468,674280.716338
2030,548169.561682,681305.177279
2031,565063.270692,692374.753647
2032,582830.997876,704339.399976
2033,599021.719291,714968.557048
2034,616948.298902,727271.618919
2035,630456.885609,735651.928945
2036,650990.17692,750509.745547
2037,663905.138289,758531.0767
2038,684929.670918,774011.922133
