year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,75680000.0,18236000.0,57444000.0
2004,,76978000.0,18552000.0,58426000.0
2005,,77361000.0,18034000.0,59327000.0
2006,,75801000.0,17425000.0,58376000.0
2007,,75162000.0,17185000.0,57977000.0
2008,,72659000.0,16648000.0,56011000.0
2009,,64930000.0,17553000.0,47377000.0
2010,,76250000.0,17793000.0,58457000.0
2011,,80421000.0,18193000.0,62228000.0
2012,,83274000.0,17517000.0,65757000.0
2013,,83345000.0,16731000.0,66614000.0
2014,,81080000.0,16106000.0,64974000.0
2015,start of forecast,83070074.0,17288408.0,65781667.0
2016,,83062477.0,17280810.0,65781667.0
2017,,83053213.0,17271547.0,65781667.0
2018,,83048240.0,17266573.0,65781667.0
2019,,83052390.0,17270723.0,65781667.0
2020,,83049029.0,17267362.0,65781667.0
2021,,83048044.0,17266378.0,65781667.0
2022,,83045083.0,17263417.0,65781667.0
2023,,83046398.0,17264731.0,65781667.0
2024,,83045872.0,17264206.0,65781667.0
2025,,83045977.0,17264311.0,65781667.0
2026,,83043901.0,17262234.0,65781667.0
2027,,83039829.0,17258162.0,65781667.0
2028,,83036533.0,17254867.0,65781667.0
2029,,83047055.0,17265388.0,65781667.0
2030,,83058725.0,17277058.0,65781667.0
2031,,83063728.0,17282061.0,65781667.0
2032,,83060264.0,17278597.0,65781667.0
2033,,83055984.0,17274317.0,65781667.0
2034,,83054740.0,17273074.0,65781667.0
2035,,83051244.0,17269578.0,65781667.0
2036,,83052510.0,17270843.0,65781667.0
2037,,83056504.0,17274837.0,65781667.0
2038,,83058822.0,17277156.0,65781667.0
2039,,83057276.0,17275609.0,65781667.0
2040,,83057659.0,17275993.0,65781667.0
