year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,60241.4367282,44578.6631789
2018,60241.4367282,44578.6631789
2019,60241.4367282,44578.6631789
2020,60241.4367282,44578.6631789
2021,60241.4367282,44578.6631789
2022,60241.4367282,44578.6631789
2023,60241.4367282,44578.6631789
2024,60241.4367282,44578.6631789
2025,60241.4367282,44578.6631789
2026,60241.4367282,44578.6631789
2027,60241.4367282,44578.6631789
2028,60241.4367282,44578.6631789
2029,60241.4367282,44578.6631789
2030,60241.4367282,44578.6631789
2031,60241.4367282,44578.6631789
