year,Base case diesel consumed,Modeled residential energy efficiency
2017,22033.8773334,16734.4446989
2018,22033.8773334,16734.4446989
2019,22769.5072807,17470.0746462
2020,22769.5072807,17470.0746462
2021,22769.5072807,17470.0746462
2022,22769.5072807,17470.0746462
2023,22769.5072807,17470.0746462
2024,22769.5072807,17470.0746462
2025,22769.5072807,17470.0746462
2026,22769.5072807,17470.0746462
2027,22769.5072807,17470.0746462
2028,22769.5072807,17470.0746462
2029,22033.8773334,16734.4446989
2030,21298.247386,15998.8147515
2031,21298.247386,15998.8147515
2032,21298.247386,15998.8147515
2033,21298.247386,15998.8147515
2034,22033.8773334,16734.4446989
2035,22033.8773334,16734.4446989
2036,21298.247386,15998.8147515
