year,Base case cost,Modeled non-residential ashp
2017,425412.355722,466195.761588
2018,458494.097306,497986.523938
2019,510056.159305,548017.435948
2020,531427.270097,568363.82794
2021,553251.421304,589286.766263
2022,564527.592096,599766.679054
2023,578278.083303,612807.323906
2024,584936.414888,618787.248537
2025,593487.71568,626636.616974
2026,609485.526887,641926.886128
2027,617169.557679,648952.124589
2028,623900.529264,655054.546671
2029,640263.641263,670746.196912
2030,645120.192055,675033.844982
2031,662713.133262,691959.772286
