year,annotation,Average Load
2003,,2830.0
2004,,2859.0
2005,,2910.0
2006,,2922.0
2007,,3012.0
2008,,2908.0
2009,,2961.0
2010,,2963.0
2011,,3067.0
2012,,3071.0
2013,,3163.0
2014,start of forecast,3107.0
2015,,3121.0
2016,,3137.0
2017,,3155.0
2018,,3169.0
2019,,3177.0
2020,,3184.0
2021,,3193.0
2022,,3198.0
2023,,3202.0
2024,,3202.0
2025,,3204.0
2026,,3206.0
2027,,3212.0
2028,,3219.0
2029,,3201.0
2030,,3189.0
2031,,3177.0
2032,,3188.0
2033,,3204.0
2034,,3219.0
2035,,3228.0
2036,,3228.0
2037,,3220.0
2038,,3215.0
2039,,3217.0
2040,,3224.0
