year,Base case cost,Modeled water and wastewater efficiency
2017,29287.2996875,36020.406344
2018,30809.0366718,36673.3216611
2019,32932.7961959,37728.47645
2020,33946.3095511,38060.2106075
2021,34725.4192888,38244.8000732
2022,35303.6056893,38303.8328008
2023,35687.5874683,38241.3984984
2024,35988.0318186,38130.2503391
2025,36306.208693,38039.3361031
2026,36801.2533899,38071.5277821
2027,37205.2481628,38051.7263262
2028,37565.5041595,38010.7277591
2029,37835.1102536,37907.6960071
2030,37969.3839354,37723.6896577
2031,38340.6173116,37702.3151081
