year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,3281808.0,470222.0,2811586.0
2004,,3522219.0,449410.0,3072809.0
2005,,3771397.0,407298.0,3364099.0
2006,,3917332.0,406432.0,3510900.0
2009,,5627558.0,539699.0,5087859.0
2010,,4650044.0,611652.0,4038392.0
2011,,4864488.0,649476.0,4215012.0
2012,,5728625.0,708226.0,5020399.0
2013,,5212461.0,675448.0,4537013.0
2014,start of forecast,5173257.0,582449.0,4590808.0
2015,,5159590.0,568782.0,4590808.0
2016,,5145077.0,554269.0,4590808.0
2017,,5129690.0,538882.0,4590808.0
2018,,5114964.0,524156.0,4590808.0
2019,,5100660.0,509852.0,4590808.0
2020,,5086586.0,495778.0,4590808.0
2021,,5072197.0,481389.0,4590808.0
2022,,5059200.0,468392.0,4590808.0
2023,,5046514.0,455706.0,4590808.0
2024,,5034777.0,443969.0,4590808.0
2025,,5023173.0,432365.0,4590808.0
2026,,5011473.0,420665.0,4590808.0
2027,,4999830.0,409022.0,4590808.0
2028,,4988180.0,397372.0,4590808.0
2029,,4979335.0,388527.0,4590808.0
2030,,4970052.0,379244.0,4590808.0
2031,,4960096.0,369288.0,4590808.0
2032,,4948476.0,357668.0,4590808.0
2033,,4936345.0,345537.0,4590808.0
2034,,4924191.0,333383.0,4590808.0
2035,,4912433.0,321625.0,4590808.0
2036,,4900967.0,310159.0,4590808.0
2037,,4890014.0,299206.0,4590808.0
2038,,4878672.0,287864.0,4590808.0
2039,,4866241.0,275433.0,4590808.0
2040,,4853018.0,262210.0,4590808.0
