year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.19,3.9
2008,,3.4,5.42
2009,,4.01,5.25
2010,,2.66,4.58
2011,,2.72,5.25
2012,,3.3,5.75
2013,,3.37,5.75
2014,,,5.75
2016,,2.57,4.12
2017,,3.06,4.61
2018,,3.42,4.97
2019,,3.92,5.47
2020,,4.15,5.7
2021,,4.31,5.86
2022,,4.43,5.98
2023,,4.51,6.06
2024,,4.58,6.13
2025,,4.67,6.22
2026,,4.77,6.32
2027,,4.85,6.4
2028,,4.92,6.47
2029,,5.01,6.56
2030,,5.07,6.62
2031,,5.17,6.72
2032,,5.28,6.83
2033,,5.38,6.93
2034,,5.49,7.04
2035,,5.56,7.11
2036,,5.67,7.22
2037,,5.74,7.29
2038,,5.85,7.4
2039,,5.93,7.48
2040,,6.05,7.6
