year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,22832.9431794,16896.3779527
2018,22832.9431794,16896.3779527
2019,22832.9431794,16896.3779527
2020,22832.9431794,16896.3779527
2021,22832.9431794,16896.3779527
2022,22832.9431794,16896.3779527
2023,22832.9431794,16896.3779527
2024,22832.9431794,16896.3779527
2025,22832.9431794,16896.3779527
2026,22832.9431794,16896.3779527
2027,22832.9431794,16896.3779527
2028,22832.9431794,16896.3779527
2029,22832.9431794,16896.3779527
2030,22832.9431794,16896.3779527
2031,22832.9431794,16896.3779527
