year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,196589.373941,145476.136716
2018,196589.373941,145476.136716
2019,196589.373941,145476.136716
2020,196589.373941,145476.136716
2021,196589.373941,145476.136716
2022,196589.373941,145476.136716
2023,196589.373941,145476.136716
2024,196589.373941,145476.136716
2025,196589.373941,145476.136716
2026,196589.373941,145476.136716
2027,196589.373941,145476.136716
2028,196589.373941,145476.136716
2029,196589.373941,145476.136716
2030,196589.373941,145476.136716
2031,196589.373941,145476.136716
