year,Base case cost,Modeled residential ashp
2017,807543.685544,1135090.3171
2018,847547.530247,1167826.58923
2019,906036.264353,1218723.19004
2020,935513.574949,1241614.41822
2021,956162.779651,1256031.3243
2022,970907.679651,1264822.38015
2023,990168.065545,1278332.12257
2024,999095.654948,1281709.19666
2025,1009502.41965,1286654.41243
2026,1022867.01495,1294607.44123
2027,1033260.03025,1299780.22605
2028,1042167.21555,1303619.66877
2029,1046099.57495,1302525.88315
2030,1053464.83025,1305084.19499
2031,1066742.29495,1313518.93877
